id,cleaned_text,token_length,padding_length,label,harm_index,sample_weight,category
1317,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1318,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
1319,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1320,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1321,only elderly get covid,4,20,1,6,4.0,demographic_myth
1322,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1323,5g towers spread covid,4,20,2,9,5.5,technology_myth
1324,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
1325,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
1326,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1327,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1328,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
1329,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
1330,covid was created to reduce population,6,20,2,10,6.0,conspiracy
1331,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
1332,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
1333,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
1334,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1335,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1336,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1337,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1338,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1339,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
1340,5g towers spread covid,4,20,2,9,5.5,technology_myth
1341,5g towers spread covid,4,20,2,9,5.5,technology_myth
1342,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1343,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1344,only elderly get covid,4,20,1,6,4.0,demographic_myth
1345,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1346,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1347,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1348,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1349,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
1350,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
1351,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1352,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1353,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1354,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1355,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
1356,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1357,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
1358,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1359,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
1360,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1361,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1362,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1363,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
1364,covid was created to reduce population,6,20,2,10,6.0,conspiracy
1365,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
1366,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1367,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1368,5g towers spread covid,4,20,2,9,5.5,technology_myth
1369,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1370,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1371,5g towers spread covid,4,20,2,9,5.5,technology_myth
1372,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
1373,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1374,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1375,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1376,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
1377,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1378,covid was created to reduce population,6,20,2,10,6.0,conspiracy
1379,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1380,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
1381,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1382,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1383,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1384,5g towers spread covid,4,20,2,9,5.5,technology_myth
1385,only elderly get covid,4,20,1,6,4.0,demographic_myth
1386,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1387,covid was created to reduce population,6,20,2,10,6.0,conspiracy
1388,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1389,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1390,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1391,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
1392,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1393,5g towers spread covid,4,20,2,9,5.5,technology_myth
1394,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
1395,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1396,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
1397,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
1398,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
1399,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1400,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1401,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
1402,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1403,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1404,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
1405,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1406,5g towers spread covid,4,20,2,9,5.5,technology_myth
1407,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
1408,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
1409,only elderly get covid,4,20,1,6,4.0,demographic_myth
1410,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1411,5g towers spread covid,4,20,2,9,5.5,technology_myth
1412,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1413,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
1414,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
1415,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1416,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1417,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
1418,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1419,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1420,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
1421,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
1422,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1423,5g towers spread covid,4,20,2,9,5.5,technology_myth
1424,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
1425,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
1426,covid was created to reduce population,6,20,2,10,6.0,conspiracy
1427,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1428,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1429,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
1430,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1431,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1432,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
1433,only elderly get covid,4,20,1,6,4.0,demographic_myth
1434,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1435,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1436,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1437,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
1438,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1439,5g towers spread covid,4,20,2,9,5.5,technology_myth
1440,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1441,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
1442,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
1443,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1444,covid was created to reduce population,6,20,2,10,6.0,conspiracy
1445,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1446,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
1447,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
1448,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1449,only elderly get covid,4,20,1,6,4.0,demographic_myth
1450,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1451,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1452,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
1453,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1454,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
1455,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
1456,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
1457,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1458,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
1459,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1460,only elderly get covid,4,20,1,6,4.0,demographic_myth
1461,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
1462,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1463,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1464,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
1465,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
1466,only elderly get covid,4,20,1,6,4.0,demographic_myth
1467,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
1468,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1469,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1470,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
1471,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1472,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1473,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
1474,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1475,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
1476,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1477,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
1478,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1479,covid was created to reduce population,6,20,2,10,6.0,conspiracy
1480,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1481,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1482,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1483,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
1484,5g towers spread covid,4,20,2,9,5.5,technology_myth
1485,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
1486,only elderly get covid,4,20,1,6,4.0,demographic_myth
1487,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1488,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
1489,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1490,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1491,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1492,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
1493,5g towers spread covid,4,20,2,9,5.5,technology_myth
1494,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1495,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1496,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1497,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
1498,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
1499,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1500,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
1501,5g towers spread covid,4,20,2,9,5.5,technology_myth
1502,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
1503,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1504,only elderly get covid,4,20,1,6,4.0,demographic_myth
1505,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1506,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
1507,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1508,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1509,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1510,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
1511,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1512,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
1513,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
1514,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1515,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1516,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1517,covid was created to reduce population,6,20,2,10,6.0,conspiracy
1518,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
1519,covid was created to reduce population,6,20,2,10,6.0,conspiracy
1520,only elderly get covid,4,20,1,6,4.0,demographic_myth
1521,only elderly get covid,4,20,1,6,4.0,demographic_myth
1522,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1523,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1524,only elderly get covid,4,20,1,6,4.0,demographic_myth
1525,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1526,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1527,5g towers spread covid,4,20,2,9,5.5,technology_myth
1528,5g towers spread covid,4,20,2,9,5.5,technology_myth
1529,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
1530,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1531,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
1532,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1533,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
1534,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
1535,covid was created to reduce population,6,20,2,10,6.0,conspiracy
1536,5g towers spread covid,4,20,2,9,5.5,technology_myth
1537,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1538,5g towers spread covid,4,20,2,9,5.5,technology_myth
1539,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
1540,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1541,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
1542,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
1543,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1544,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1545,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1546,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1547,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
1548,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1549,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1550,only elderly get covid,4,20,1,6,4.0,demographic_myth
1551,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1552,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
1553,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
1554,5g towers spread covid,4,20,2,9,5.5,technology_myth
1555,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
1556,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
1557,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
1558,5g towers spread covid,4,20,2,9,5.5,technology_myth
1559,covid was created to reduce population,6,20,2,10,6.0,conspiracy
1560,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
1561,5g towers spread covid,4,20,2,9,5.5,technology_myth
1562,5g towers spread covid,4,20,2,9,5.5,technology_myth
1563,covid was created to reduce population,6,20,2,10,6.0,conspiracy
1564,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1565,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
1566,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1567,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1568,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1569,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1570,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
1571,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
1572,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
1573,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1574,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
1575,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
1576,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1577,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1578,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1579,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1580,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1581,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1582,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
1583,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
1584,only elderly get covid,4,20,1,6,4.0,demographic_myth
1585,covid was created to reduce population,6,20,2,10,6.0,conspiracy
1586,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
1587,only elderly get covid,4,20,1,6,4.0,demographic_myth
1588,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
1589,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
1590,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1591,only elderly get covid,4,20,1,6,4.0,demographic_myth
1592,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1593,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
1594,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1595,5g towers spread covid,4,20,2,9,5.5,technology_myth
1596,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1597,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1598,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
1599,5g towers spread covid,4,20,2,9,5.5,technology_myth
1600,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1601,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
1602,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
1603,covid was created to reduce population,6,20,2,10,6.0,conspiracy
1604,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
1605,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1606,only elderly get covid,4,20,1,6,4.0,demographic_myth
1607,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1608,only elderly get covid,4,20,1,6,4.0,demographic_myth
1609,only elderly get covid,4,20,1,6,4.0,demographic_myth
1610,5g towers spread covid,4,20,2,9,5.5,technology_myth
1611,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1612,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1613,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1614,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1615,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1616,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1617,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
1618,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1619,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
1620,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1621,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
1622,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1623,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1624,only elderly get covid,4,20,1,6,4.0,demographic_myth
1625,covid was created to reduce population,6,20,2,10,6.0,conspiracy
1626,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1627,only elderly get covid,4,20,1,6,4.0,demographic_myth
1628,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1629,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
1630,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1631,only elderly get covid,4,20,1,6,4.0,demographic_myth
1632,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
1633,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1634,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
1635,5g towers spread covid,4,20,2,9,5.5,technology_myth
1636,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
1637,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1638,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1639,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1640,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1641,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
1642,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1643,covid was created to reduce population,6,20,2,10,6.0,conspiracy
1644,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
1645,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
1646,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1647,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
1648,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1649,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
1650,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1651,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1652,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1653,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1654,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
1655,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
1656,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1657,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1658,covid was created to reduce population,6,20,2,10,6.0,conspiracy
1659,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
1660,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1661,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
1662,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1663,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1664,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1665,5g towers spread covid,4,20,2,9,5.5,technology_myth
1666,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1667,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1668,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
1669,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1670,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1671,vaccines reduce severe illness,4,20,0,1,1.5,medical_fact
1672,only elderly get covid,4,20,1,6,4.0,demographic_myth
1673,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1674,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
1675,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1676,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
1677,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1678,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
1679,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
1680,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1681,5g towers spread covid,4,20,2,9,5.5,technology_myth
1682,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1683,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1684,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
1685,covid vaccine causes infertility,4,20,2,9,5.5,medical_misinformation
1686,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1687,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1688,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1689,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1690,covid was created to reduce population,6,20,2,10,6.0,conspiracy
1691,only elderly get covid,4,20,1,6,4.0,demographic_myth
1692,5g towers spread covid,4,20,2,9,5.5,technology_myth
1693,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
1694,covid was created to reduce population,6,20,2,10,6.0,conspiracy
1695,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
1696,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1697,only elderly get covid,4,20,1,6,4.0,demographic_myth
1698,natural immunity better than vaccines,5,20,1,6,4.0,vaccine_misleading
1699,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1700,only elderly get covid,4,20,1,6,4.0,demographic_myth
1701,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1702,only elderly get covid,4,20,1,6,4.0,demographic_myth
1703,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1704,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1705,covid vaccines cause sudden death,5,20,2,10,6.0,panic_misinformation
1706,drinking hot water kills coronavirus,5,20,2,8,5.0,home_remedy_myth
1707,vaccines contain tracking microchips,4,20,2,10,6.0,surveillance_conspiracy
1708,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1709,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1710,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1711,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
1712,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
1713,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1714,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
1715,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
1716,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1717,herbal kadha prevents all variants,5,20,2,8,5.0,alternative_medicine
1718,masks reduce oxygen dangerously,4,20,1,7,4.5,public_health_myth
1719,handwashing prevents infection,3,20,0,0,1.0,public_health_fact
1720,covid is media hoax,4,20,2,10,6.0,denial_conspiracy
1721,5g towers spread covid,4,20,2,9,5.5,technology_myth
1722,steam inhalation cures covid,4,20,2,8,5.0,alternative_medicine
1723,covid was created to reduce population,6,20,2,10,6.0,conspiracy
1724,5g towers spread covid,4,20,2,9,5.5,technology_myth
1725,covid spreads through mosquito bites,5,20,2,7,4.5,transmission_myth
